issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
179,restcountries,https://github.com/apilayer/restcountries/issues/179,Too many Time Zones for France,- Actual data received : ![image](https://user-images.githubusercontent.com/52750054/83772457-b07b0400-a683-11ea-9bbb-cf1edf340d1b.png) - Should be : UTC+2,data-file,many time zones france actual data received image https user images githubusercontent bbb edf png utc,bug,0.85,Too many Time Zones for France - Actual data received : ![image](https://user-images.githubusercontent.com/52750054/83772457-b07b0400-a683-11ea-9bbb-cf1edf340d1b.png) - Should be : UTC+2
249,restcountries,https://github.com/apilayer/restcountries/issues/249,Swaziland Country Name,"This is not Swaziland any more, its ""Eswatini"" the offical name of this country.",data-file | data-file,swaziland country name swaziland eswatini offical name country,bug,0.7,"Swaziland Country Name This is not Swaziland any more, its ""Eswatini"" the offical name of this country."
177,restcountries,https://github.com/apilayer/restcountries/issues/177,Incomplete currency/language list for Antarctica,"There is an incomplete currency list for ""Antarctica"". It should include Chilean Peso CLP and Spanish. Below a portion of the response with available currencies and languages.  { ""name"" : ""Antarctica"", ""alpha2Code"" : ""AQ"", ""callingCodes"" : [ ""672"" ], ""region"" : ""Polar"", ""timezones"" : [ ""UTC-03:00"", ""UTC+03:00"", ""UTC+05:00"", ""UTC+06:00"", ""UTC+07:00"", ""UTC+08:00"", ""UTC+10:00"", ""UTC+12:00"" ], ""nativeName"" : ""Antarctica"", ""currencies"" : [ { ""code"" : ""AUD"", ""name"" : ""Australian dollar"", ""symbol"" : ""$"" }, { ""code"" : ""GBP"", ""name"" : ""British pound"", ""symbol"" : """" } ], ""languages"" : [ { ""iso639_1"" : ""en"", ""iso639_2"" : ""eng"", ""name"" : ""English"", ""nativeName"" : ""English"" }, { ""iso639_1"" : ""ru"", ""iso639_2"" : ""rus"", ""name"" : ""Russian"", ""nativeName"" : """" } ] }",data-file,incomplete currency language list antarctica incomplete currency list antarctica include chilean peso clp spanish portion response available currencies languages name antarctica alpha callingcodes region polar timezones utc utc utc utc utc utc utc utc nativename antarctica currencies aud name australian dollar symbol gbp name british pound symbol languages iso iso eng name english nativename english iso iso rus name russian nativename,bug,0.9,"Incomplete currency/language list for Antarctica There is an incomplete currency list for ""Antarctica"". It should include Chilean Peso CLP and Spanish. Below a portion of the response with available currencies and languages.  { ""name"" : ""Antarctica"", ""alpha2Code"" : ""AQ"", ""callingCodes"" : [ ""672"" ], ""region"" : ""Polar"", ""timezones"" : [ ""UTC-03:00"", ""UTC+03:00"", ""UTC+05:00"", ""UTC+06:00"", ""UTC+07:00"", ""UTC+08:00"", ""UTC+10:00"", ""UTC+12:00"" ], ""nativeName"" : ""Antarctica"", ""currencies"" : [ { ""code"" : ""AUD"", ""name"" : ""Australian dollar"", ""symbol"" : ""$"" }, { ""code"" : ""GBP"", ""name"" : ""British pound"", ""symbol"" : """" } ], ""languages"" : [ { ""iso639_1"" : ""en"", ""iso639_2"" : ""eng"", ""name"" : ""English"", ""nativeName"" : ""English"" }, { ""iso639_1"" : ""ru"", ""iso639_2"" : ""rus"", ""name"" : ""Russian"", ""nativeName"" : """" } ] }"
237,restcountries,https://github.com/apilayer/restcountries/issues/237,There should be Nepal in border countries of China,If you try to fetch border countries of Nepal then there is China and India. If you fetch borders of India then there is Nepal too but when you fetch borders of China then there is not Nepal which there must be.,data-file,nepal border countries china fetch border countries nepal china india fetch borders india nepal fetch borders china nepal must,bug,0.9,There should be Nepal in border countries of China If you try to fetch border countries of Nepal then there is China and India. If you fetch borders of India then there is Nepal too but when you fetch borders of China then there is not Nepal which there must be.
235,restcountries,https://github.com/apilayer/restcountries/issues/235,Change name capital of Ukraine,"You have wrong name capital of Ukraine, in your API use Kiev ithis transcription name used only russian who live in Russia, in all world used valid name Kyiv https://en.wikipedia.org/wiki/Kyiv#cite_note-12 #KyivNotKiev",data-file,name capital ukraine wrong name capital ukraine api use kiev ithis transcription name used russian live russia world used valid name kyiv https wikipedia wiki kyiv cite note kyivnotkiev,bug,0.9,"Change name capital of Ukraine You have wrong name capital of Ukraine, in your API use Kiev ithis transcription name used only russian who live in Russia, in all world used valid name Kyiv https://en.wikipedia.org/wiki/Kyiv#cite_note-12 #KyivNotKiev"
201,restcountries,https://github.com/apilayer/restcountries/issues/201,"Wrong UTC time in Tbilisy, Georgia","It has timezones: [""UTC-05:00""]. The correct one is UTC+04:00 (https://24timezones.com/Georgia/time)",data-file | data-file,wrong utc time tbilisy georgia timezones utc correct one utc https timezones georgia time,bug,0.85,"Wrong UTC time in Tbilisy, Georgia It has timezones: [""UTC-05:00""]. The correct one is UTC+04:00 (https://24timezones.com/Georgia/time)"
116,restcountries,https://github.com/apilayer/restcountries/issues/116,Country translation,"Hi Morocco in Arabic is """" not """" I hope you correct it as soon as possible Thranx",data-file,country translation morocco arabic hope correct soon possible thranx,bug,0.8,"Country translation Hi Morocco in Arabic is """" not """" I hope you correct it as soon as possible Thranx"
156,restcountries,https://github.com/apilayer/restcountries/issues/156,Capital of Vatican City incorrect,"The capital city of Vatican City is listed as Rome, however, the capital is Vatican City.",data-file | data-file,capital vatican city incorrect capital city vatican city listed rome however capital vatican city,bug,0.9,"Capital of Vatican City incorrect The capital city of Vatican City is listed as Rome, however, the capital is Vatican City."
199,restcountries,https://github.com/apilayer/restcountries/issues/199,Wrong Country Name,"Hello. Country with code: ""alpha2Code"": ""MK"", ""alpha3Code"": ""MKD"" Has wrong name. The official name according the UN.org is the Republic of North Macedonia (short form: North Macedonia) https://www.un.org/en/member-states/#gotoN",data-file | data-file | data-file,wrong country name hello country alpha alpha mkd wrong name official name according republic north macedonia short form north macedonia https www member states goton,bug,0.9,"Wrong Country Name Hello. Country with code: ""alpha2Code"": ""MK"", ""alpha3Code"": ""MKD"" Has wrong name. The official name according the UN.org is the Republic of North Macedonia (short form: North Macedonia) https://www.un.org/en/member-states/#gotoN"
118,restcountries,https://github.com/apilayer/restcountries/issues/118,Countries Aruba(AW) and Curaao (CW) show wrong language,"It shows {""iso639_1"":""pa"",""iso639_2"":""pan"",""name"":""(Eastern) Punjabi"",""nativeName"":""""}. It should actually be , but it should be {""iso639_2"":""pap"",""name"":""Papiamento"",""nativeName"":""Papiamentu""}. Either change it to this, or remove completely, as Punjabi is not spoken anywhere in the caribbean. It could be added to Bonaire (BQ) as well.",data-file,countries aruba curaao show wrong language shows iso iso pan name eastern punjabi nativename actually iso pap name papiamento nativename papiamentu either completely punjabi spoken anywhere caribbean could added bonaire well,bug,0.9,"Countries Aruba(AW) and Curaao (CW) show wrong language It shows {""iso639_1"":""pa"",""iso639_2"":""pan"",""name"":""(Eastern) Punjabi"",""nativeName"":""""}. It should actually be , but it should be {""iso639_2"":""pap"",""name"":""Papiamento"",""nativeName"":""Papiamentu""}. Either change it to this, or remove completely, as Punjabi is not spoken anywhere in the caribbean. It could be added to Bonaire (BQ) as well."
