issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
353,silver,https://github.com/silverapp/silver/issues/353,Payment method for wrong customer,http://127.0.0.1:8000/customers/1/payment_methods/3/ Works even though the payment method is not linked with that specific customer.,config-file | container-file | other-file | other-file | config-file | other-file | source-file | source-file,payment method wrong customer http customers payment methods works even though payment method linked specific customer,bug,0.9,Payment method for wrong customer http://127.0.0.1:8000/customers/1/payment_methods/3/ Works even though the payment method is not linked with that specific customer.
384,silver,https://github.com/silverapp/silver/issues/384,Creating a payment method without a given state through the api fails.,"{u'non_field_errors': [u""'state' must initially be one of (uninitialized, unverified, enabled).""]}",source-file,creating payment method without given state api fails non field errors state must initially one uninitialized unverified enabled,bug,0.9,"Creating a payment method without a given state through the api fails. {u'non_field_errors': [u""'state' must initially be one of (uninitialized, unverified, enabled).""]}"
469,silver,https://github.com/silverapp/silver/issues/469,Payment_methods GET should return expanded payment_processor,,source-file | source-file | source-file,payment methods get return expanded payment processor,bug,0.85,Payment_methods GET should return expanded payment_processor 
204,silver,https://github.com/silverapp/silver/issues/204,Wrong invoiced data,"One instance got created on May 7-th ( viralrocks.trypl.com ) and on the invoice appeared the bucket for the 15 days free trial, one line with + one line with minus for the period 7-21-st may, then it only invoiced the subscription for June, skipping to invoice the period for 21-31-st may which costs us money",source-file | test-file | test-file,wrong invoiced data one instance got created may viralrocks trypl invoice appeared bucket days free trial one one minus period may invoiced subscription june skipping invoice period may costs money,bug,0.9,"Wrong invoiced data One instance got created on May 7-th ( viralrocks.trypl.com ) and on the invoice appeared the bucket for the 15 days free trial, one line with + one line with minus for the period 7-21-st may, then it only invoiced the subscription for June, skipping to invoice the period for 21-31-st may which costs us money"
196,silver,https://github.com/silverapp/silver/issues/196,Strange characters block editing of subscriptions,"We had a customer with a strange name including letter """" when we tried editing his subscription we received i thing a 404 or a 504 i cannot remember. I've changed the name into 'a' and then it worked.",source-file,strange characters block editing subscriptions customer strange name including letter tried editing subscription received thing cannot remember changed name worked,bug,0.85,"Strange characters block editing of subscriptions We had a customer with a strange name including letter """" when we tried editing his subscription we received i thing a 404 or a 504 i cannot remember. I've changed the name into 'a' and then it worked."
228,silver,https://github.com/silverapp/silver/issues/228,Lines 640-671 from models.py are not correct,Case: https://billing.presslabs.com/silver/proforma/179/ -- was generated incorrectly. The value of the prorated subscription after trial was added two times.,other-file | test-file | source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | test-file | test-file | test-file,lines models correct case https billing presslabs proforma generated incorrectly value prorated subscription trial added two times,bug,0.85,Lines 640-671 from models.py are not correct Case: https://billing.presslabs.com/silver/proforma/179/ -- was generated incorrectly. The value of the prorated subscription after trial was added two times.
104,silver,https://github.com/silverapp/silver/issues/104,When creating a subscription the customer should be taken from URL,"Subscriptions have endpoint in the form: `customers/:id/subscriptions`. So, when creating a subscription, the customer must match the one in the URL and it shouldn't be settable through POST data.",source-file,creating subscription customer taken url subscriptions endpoint form customers subscriptions creating subscription customer must match one url settable post data,bug,0.9,"When creating a subscription the customer should be taken from URL Subscriptions have endpoint in the form: `customers/:id/subscriptions`. So, when creating a subscription, the customer must match the one in the URL and it shouldn't be settable through POST data."
105,silver,https://github.com/silverapp/silver/issues/105,Subscriptions should expose the subscription_id,The subscription serializer should expose the subscription ID.,source-file,subscriptions expose subscription subscription serializer expose subscription,bug,0.85,Subscriptions should expose the subscription_id The subscription serializer should expose the subscription ID.
289,silver,https://github.com/silverapp/silver/issues/289,Error deleting proforma,Sometimes deleting proformas gives server error 500,other-file | source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | test-file | test-file | source-file,deleting proforma sometimes deleting proformas gives server,bug,0.9,Error deleting proforma Sometimes deleting proformas gives server error 500
203,silver,https://github.com/silverapp/silver/issues/203,Wrong data in invoices/proforma when subscription is canceled,"So in the middle of the month the customer decides to move. We cancel the subscription in billing and the expected result is that the new billing cycle invoice to have only the extra pageviews included on it and no more full month subscription. Well, the Billing subscription moved to ended, but the current month subscription package got invoiced wrongly on top of the expected extra pageviews.",source-file | test-file | source-file | test-file,wrong data invoices proforma subscription canceled middle month customer decides move cancel subscription billing expected result new billing cycle invoice extra pageviews included full month subscription well billing subscription moved ended current month subscription package got invoiced wrongly top expected extra pageviews,bug,0.9,"Wrong data in invoices/proforma when subscription is canceled So in the middle of the month the customer decides to move. We cancel the subscription in billing and the expected result is that the new billing cycle invoice to have only the extra pageviews included on it and no more full month subscription. Well, the Billing subscription moved to ended, but the current month subscription package got invoiced wrongly on top of the expected extra pageviews."
161,silver,https://github.com/silverapp/silver/issues/161,Invoice entry end date should be the end of cycle,Billing entry `end_date` should be something like `2015-03-31` instead of `2015-04-01`,source-file | source-file,invoice entry end date end cycle billing entry end date something like instead,bug,0.9,Invoice entry end date should be the end of cycle Billing entry `end_date` should be something like `2015-03-31` instead of `2015-04-01`
